flows	lambda	Time	#OP		n
100		250.0	19380	10676	16
100		333.0	19380	10676	16
100		400.0	19380	10676	16
100		500.0	19380	10676	16
100		600.0	19380	10676	16
100		800.0	19380	10676	16
100		1000.0	19380	10676	16
200		250.0	22015	21268	16
200		333.0	22015	21268	16
200		400.0	22015	21268	16
200		500.0	22015	21268	16
200		600.0	22015	21268	16
200		800.0	22015	21268	16
200		1000.0	22015	21268	16
400		250.0	24640	42726	16
400		333.0	24640	42726	16
400		400.0	24640	42726	16
400		500.0	24640	42726	16
400		600.0	24640	42726	16
400		800.0	24640	42726	16
400		1000.0	24640	42726	16
